experiment_id,description,method,seed,split,checkpoint_file,val_miou,test_miou,knn_k,knn,frame_count,training_seed,perturbation_seed,config,raw_results,git_commit,notes
main_primary,DS-RangeNet primary comparison (Line T: test; per-method validation-best; KNN),ds_rangenet,0,test_S6_S7,ds_rangenet_seed0_ep138_miou73.16.pth,73.16,72.61,3,yes,2100,0,NA,configs/models/ds_rangenet.yaml,results/raw/main_comparison.csv;results/raw/per_class_iou.csv,a3f7c2e,Line T: primary test benchmark; Table 1
dsconv_A,DSConv backbone ablation A (RI only 2ch) (Line D: validation; seed 0; no KNN),dsconv,0,validation_S3,ds_rangenet_dsconv_A_seed0_ep112_miou56.80.pth,56.80,NA,3,no,1300,0,NA,configs/ablation/dsconv_A.yaml,results/raw/ablation_dsconv.csv,a3f7c2e,Line D: config A; Table 4 row A
dsconv_B,DSConv backbone ablation B (Geo only 6ch) (Line D: validation; seed 0; no KNN),dsconv,0,validation_S3,ds_rangenet_dsconv_B_seed0_ep118_miou58.30.pth,58.30,NA,3,no,1300,0,NA,configs/ablation/dsconv_B.yaml,results/raw/ablation_dsconv.csv,a3f7c2e,Line D: config B; Table 4 row B
dsconv_C,DSConv backbone ablation C (Dual raw 8ch) (Line D: validation; seed 0; no KNN),dsconv,0,validation_S3,ds_rangenet_dsconv_C_seed0_ep125_miou62.50.pth,62.50,NA,3,no,1300,0,NA,configs/ablation/dsconv_C.yaml,results/raw/ablation_dsconv.csv,a3f7c2e,Line D: config C; Table 4 row C
dsconv_D,DSConv backbone ablation D (+VoxPCA) (Line D: validation; seed 0; no KNN),dsconv,0,validation_S3,ds_rangenet_dsconv_D_seed0_ep130_miou64.80.pth,64.80,NA,3,no,1300,0,NA,configs/ablation/dsconv_D.yaml,results/raw/ablation_dsconv.csv,a3f7c2e,Line D: config D; Table 4 row D
dsconv_E,DSConv backbone ablation E (+ICurv) (Line D: validation; seed 0; no KNN),dsconv,0,validation_S3,ds_rangenet_dsconv_E_seed0_ep133_miou66.30.pth,66.30,NA,3,no,1300,0,NA,configs/ablation/dsconv_E.yaml,results/raw/ablation_dsconv.csv,a3f7c2e,Line D: config E; Table 4 row E
full_F,Full model +CBAM only (Line V: validation; seed 0; no KNN; 3.21M params),ds_rangenet_full,0,validation_S3,ds_rangenet_full_F_seed0_ep118_miou69.10.pth,69.10,NA,3,no,1300,0,NA,configs/ablation/full_F.yaml,results/raw/ablation_full.csv,a3f7c2e,Line V: config F; Table 4 row F; 3.21M
full_G,Full model +IGCA GtoI (Line V: validation; seed 0; no KNN; 4.38M params),ds_rangenet_full,0,validation_S3,ds_rangenet_full_G_seed0_ep128_miou71.00.pth,71.00,NA,3,no,1300,0,NA,configs/ablation/full_G.yaml,results/raw/ablation_full.csv,a3f7c2e,Line V: config G; Table 4 row G; 4.38M
full_H,Full model +IGCA bidir (Line V: validation; seed 0; no KNN; 5.69M params),ds_rangenet_full,0,validation_S3,ds_rangenet_full_H_seed0_ep134_miou72.40.pth,72.40,NA,3,no,1300,0,NA,configs/ablation/full_H.yaml,results/raw/ablation_full.csv,a3f7c2e,Line V: config H; Table 4 row H; 5.69M
full_I,Full DS-RangeNet +ICB (Line V: validation; seed 0; epoch 138; no KNN; 5.69M params),ds_rangenet_full,0,validation_S3,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,73.18,NA,3,no,1300,0,NA,configs/ablation/full_I.yaml,results/raw/ablation_full.csv,a3f7c2e,Line V: config I (ours); Table 4 row I; selected at epoch 138
full_I_knn,Full DS-RangeNet +ICB with KNN (Line V: validation; seed 0; KNN post),ds_rangenet_full,0,validation_S3,ds_rangenet_full_I_seed0_ep138_miou73.18.pth,73.18,NA,3,yes,1300,0,NA,configs/ablation/full_I_knn.yaml,results/raw/ablation_full_knn.csv,a3f7c2e,Line V: full model with KNN; Table 4 row I post-KNN
seed_statistics,5-seed statistics DS-RangeNet (Line S: validation; five seeds; no KNN),ds_rangenet,0,validation_S3,ds_rangenet_seed0_ep138_miou73.16.pth,73.16,NA,3,no,1300,0;1;2;3;4,NA,configs/train/default.yaml,results/raw/five_seed_results.csv,a3f7c2e,Line S: mean=73.1+-0.21; seeds {0,1,2,3,4}; Table 8
seed_statistics_rangeformer,5-seed statistics RangeFormer control (Line S: validation; five seeds; no KNN),rangeformer,0,validation_S3,ds_rangenet_seed0_ep138_miou73.16.pth,67.10,NA,5,no,1300,0;1;2;3;4,NA,configs/baselines/rangeformer.yaml,results/raw/five_seed_rangeformer.csv,a3f7c2e,Line S: mean=67.1+-0.34; Table 8; control only
seed_statistics_crossattn,5-seed statistics conventional cross-attention control (Line S),conv_crossattn,0,validation_S3,ds_rangenet_attn_seed0_ep136_miou73.20.pth,71.40,NA,3,no,1300,0;1;2;3;4,NA,configs/ablation/conv_attn.yaml,results/raw/five_seed_convattn.csv,a3f7c2e,Line S: mean=71.4+-0.29; Table 8; control only
loeo_1,LOEO fold 1 (held-out S1 Steel factory A; val S3; KNN),ds_rangenet,0,test_S1,ds_rangenet_loeo1_ep135_miou70.40.pth,70.40,NA,3,yes,12000,0,NA,configs/loeo/fold1_S1.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 1; mIoU=70.4
loeo_2,LOEO fold 2 (held-out S2 Steel factory B; val S3; KNN),ds_rangenet,0,test_S2,ds_rangenet_loeo2_ep135_miou70.60.pth,70.60,NA,3,yes,12000,0,NA,configs/loeo/fold2_S2.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 2; mIoU=70.6
loeo_3,LOEO fold 3 (held-out S3 Warehouse A; val S4; KNN),ds_rangenet,0,test_S3,ds_rangenet_loeo3_ep135_miou71.00.pth,71.00,NA,3,yes,12000,0,NA,configs/loeo/fold3_S3.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 3; mIoU=71.0
loeo_4,LOEO fold 4 (held-out S4 Warehouse B; val S3; KNN),ds_rangenet,0,test_S4,ds_rangenet_loeo4_ep135_miou71.20.pth,71.20,NA,3,yes,12000,0,NA,configs/loeo/fold4_S4.yaml,results/raw/loeo_folds.csv,a3f7c2e,Line L: Table 5 fold 4; mIoU=71.2
