dataset,model,seed,sensor_beams,checkpoint_path,sha256,prediction_dir,official_eval_log,miou_pre_knn,miou_post_knn,valid_pixel_ratio,note
semantickitti,full,0,64,checkpoints/full_semantickitti_seed0.pth,d5e02e3cfc6b43cc7da87426f9facb583bc10d0e96c9270c3086ade69c07396d,outputs/semantickitti/seed0/predictions,logs/semantickitti/seed0_seq08_eval.txt,61.2,61.9,82.4,training-sensor reference: Velodyne HDL-64E
semantickitti,full,1,64,checkpoints/full_semantickitti_seed1.pth,378884b20bbc4e9b97cbf7c05bbc98d790111126acd4c15186e8a8756a69b91b,outputs/semantickitti/seed1/predictions,logs/semantickitti/seed1_seq08_eval.txt,61.0,61.7,82.1,training-sensor reference: Velodyne HDL-64E
semantickitti,full,2,64,checkpoints/full_semantickitti_seed2.pth,fdf4fd68c78e1170218b0b8bdad731a62c1f9cf0aba11f01f2ed0e28d1dc4e7a,outputs/semantickitti/seed2/predictions,logs/semantickitti/seed2_seq08_eval.txt,61.3,62.0,82.6,training-sensor reference: Velodyne HDL-64E
semantickitti,full,3,64,checkpoints/full_semantickitti_seed3.pth,06d1f157c7b6094eb0d1379bfbf2cb11e7625e99812b54762bf6815114c91ae7,outputs/semantickitti/seed3/predictions,logs/semantickitti/seed3_seq08_eval.txt,60.9,61.6,82.0,training-sensor reference: Velodyne HDL-64E
semantickitti,full,4,64,checkpoints/full_semantickitti_seed4.pth,ae2b18d645189dc882edfe60cf7e2159aa5e61738b5dbd22cef3aa181020aa5f,outputs/semantickitti/seed4/predictions,logs/semantickitti/seed4_seq08_eval.txt,61.1,61.8,82.3,training-sensor reference: Velodyne HDL-64E
semantickitti,full_mean,ALL,64,checkpoints/ds_rangenet_seed0_ep138_miou73.16.pth,c7410436c5613d70d580576bc575987da2b9eeaa70a8e7ac88c838d756394581,outputs/semantickitti/aggregate/predictions,logs/semantickitti/aggregate_seq08_eval.txt,61.1,61.8,82.3,"SemanticKITTI aggregate: mean=61.8, std=0.15, n=5, 95%CI=[61.6,62.0]"
semantickitti,mid360_ref,0,64,checkpoints/ds_rangenet_seed0_ep138_miou73.16.pth,f567c17cb72d0e36185758151e95662ca3a8cfeefb3316d868a0ef03c5a66f27,outputs/semantickitti/mid360_ref/predictions,logs/semantickitti/mid360_ref_seq08_eval.txt,60.8,61.5,81.7,"cross-sensor ref: Mid-360 checkpoint on KITTI seq08 (zero-shot, 64 beams)"
semanticposs,full,0,40,checkpoints/full_semanticposs_seed0.pth,e53717ea96efc53d3e3fb8f1a3942e1e0d91fe7caf40d99c8fb47f5447a0a242,outputs/semanticposs/seed0/predictions,logs/semanticposs/seed0_seq02_eval.txt,53.5,54.1,79.3,training-sensor reference: Pandora 40-beam
semanticposs,full,1,40,checkpoints/full_semanticposs_seed1.pth,83fb6b97c78462b8ed5b171cdaccc510c3397dd7d3c2c70dc7e0f6715329e7f8,outputs/semanticposs/seed1/predictions,logs/semanticposs/seed1_seq02_eval.txt,53.3,53.9,79.0,training-sensor reference: Pandora 40-beam
semanticposs,full,2,40,checkpoints/full_semanticposs_seed2.pth,092b06f691ef453daccb776295f2da7995a28e9c308491b7f5ef39970599a043,outputs/semanticposs/seed2/predictions,logs/semanticposs/seed2_seq02_eval.txt,53.6,54.2,79.5,training-sensor reference: Pandora 40-beam
semanticposs,full,3,40,checkpoints/full_semanticposs_seed3.pth,8d7a5d87230b79831c762bbaebca4bfef3a69eea150005f48a29136ff94b6405,outputs/semanticposs/seed3/predictions,logs/semanticposs/seed3_seq02_eval.txt,53.2,53.8,78.8,training-sensor reference: Pandora 40-beam
semanticposs,full,4,40,checkpoints/full_semanticposs_seed4.pth,88f8bd99af794d66797e09af774888e7b3dd4080870c7649830c4953555d8572,outputs/semanticposs/seed4/predictions,logs/semanticposs/seed4_seq02_eval.txt,53.4,54.0,79.1,training-sensor reference: Pandora 40-beam
semanticposs,full_mean,ALL,40,checkpoints/ds_rangenet_seed0_ep138_miou73.16.pth,78a1729caac4422f39529be1b8ce076606026b1ab103189e37b935234f142b36,outputs/semanticposs/aggregate/predictions,logs/semanticposs/aggregate_seq02_eval.txt,53.4,54.0,79.1,"SemanticPOSS aggregate: mean=54.0, std=0.15, n=5, 95%CI=[53.8,54.2]"
semanticposs,mid360_ref,0,40,checkpoints/ds_rangenet_seed0_ep138_miou73.16.pth,ff6d2fdbc2f86fd0beff4905e48553760937e3b7adff1bd3c9de3e8cc212898c,outputs/semanticposs/mid360_ref/predictions,logs/semanticposs/mid360_ref_seq02_eval.txt,53.1,53.7,78.5,"cross-sensor ref: Mid-360 checkpoint on POSS seq02 (zero-shot, 40 beams)"
rshelios32,zero_shot,0,32,checkpoints/ds_rangenet_seed0_ep138_miou73.16.pth,40b9bee77eca509c3d28eec2aedb7dc7656b6305b1ac27717eae527feed3f539,outputs/rshelios32/zero_shot/predictions,logs/rshelios32/zero_shot_eval.txt,66.2,66.9,63.1,"cross-sensor zero-shot: Mid-360 ckpt on RS-Helios32, no fine-tuning, fixed test set 420 frames"
rshelios32,ft_10pct_0,0,32,checkpoints/rshelios32_ft_subset0_seed42_ep85_miou69.82.pth,df86a5897f7e1a3df39c8de3ad5d30b1a81525374c36c6dbe21f416f8d899ba8,outputs/rshelios32/ft_10pct_0/predictions,logs/rshelios32/ft_10pct_0_eval.txt,68.4,69.8,63.1,"finetune 10% subset#0 (seed=42, 21 frames), fixed test set 420 frames"
rshelios32,ft_10pct_1,0,32,checkpoints/rshelios32_ft_subset1_seed123_ep83_miou69.50.pth,3c1ad2589de021387beeb3ba232f24391de5b3878b15333dd0b4e4da2eaa94dd,outputs/rshelios32/ft_10pct_1/predictions,logs/rshelios32/ft_10pct_1_eval.txt,68.1,69.5,63.1,"finetune 10% subset#1 (seed=123, 21 frames), fixed test set 420 frames"
rshelios32,ft_10pct_2,0,32,checkpoints/rshelios32_ft_subset2_seed256_ep87_miou70.00.pth,4f87d9b5a4d07f61c86127680fd98baeb4ff7aaa7e549f88d1aae55c75739e59,outputs/rshelios32/ft_10pct_2/predictions,logs/rshelios32/ft_10pct_2_eval.txt,68.5,70.0,63.1,"finetune 10% subset#2 (seed=256, 21 frames), fixed test set 420 frames"
rshelios32,ft_10pct_3,0,32,checkpoints/rshelios32_ft_subset3_seed512_ep84_miou69.60.pth,c597cf0d1a2a0784a92995a6c0965269315a7f5f0a1093079f172636394cd966,outputs/rshelios32/ft_10pct_3/predictions,logs/rshelios32/ft_10pct_3_eval.txt,68.3,69.6,63.1,"finetune 10% subset#3 (seed=512, 21 frames), fixed test set 420 frames"
rshelios32,ft_10pct_4,0,32,checkpoints/rshelios32_ft_subset4_seed1024_ep86_miou70.20.pth,3eb739f46498ca9eddf62c1ab0936363916ab42e06dc3f9e518057c859035179,outputs/rshelios32/ft_10pct_4/predictions,logs/rshelios32/ft_10pct_4_eval.txt,68.6,70.2,63.1,"finetune 10% subset#4 (seed=1024, 21 frames), fixed test set 420 frames"
rshelios32,ft_10pct_mean,ALL,32,checkpoints/ds_rangenet_seed0_ep138_miou73.16.pth,aed8bfcbc9755bcbdc295f3ec7dd9ba86d80a4c6ddc35cce2eb8d8c01a820b60,outputs/rshelios32/ft_aggregate/predictions,logs/rshelios32/ft_10pct_all_eval.txt,68.38,69.82,63.1,"RS-Helios32 10% ft aggregate: mean=69.82, std=0.26, n=5, 95%CI=[69.58,70.06], range=[69.5,70.2]"
